"filename", "language", "HTML", "JavaScript", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\Oosh\Documents\GitHub\dunePrototype\.eslintrc.js", "JavaScript", 0, 18, 0, 0, 0, 1, 19
"c:\Users\Oosh\Documents\GitHub\dunePrototype\README.md", "Markdown", 0, 0, 2, 0, 0, 1, 3
"c:\Users\Oosh\Documents\GitHub\dunePrototype\package-lock.json", "JSON", 0, 0, 0, 10343, 0, 1, 10344
"c:\Users\Oosh\Documents\GitHub\dunePrototype\package.json", "JSON", 0, 0, 0, 61, 27, 0, 88
"c:\Users\Oosh\Documents\GitHub\dunePrototype\postcss.config.cjs", "JavaScript", 0, 8, 0, 0, 0, 1, 9
"c:\Users\Oosh\Documents\GitHub\dunePrototype\tailwind.config.cjs", "JavaScript", 0, 33, 0, 0, 0, 1, 34
"c:\Users\Oosh\Documents\GitHub\dunePrototype\test.html", "HTML", 83, 0, 0, 0, 0, 0, 83
"c:\Users\Oosh\Documents\GitHub\dunePrototype\test.js", "JavaScript", 0, 12, 0, 0, 0, 5, 17
"c:\Users\Oosh\Documents\GitHub\dunePrototype\test1.mjs", "JavaScript", 0, 21, 0, 0, 0, 3, 24
"c:\Users\Oosh\Documents\GitHub\dunePrototype\test2.html", "HTML", 45, 0, 0, 0, 0, 0, 45
"Total", "-", 128, 92, 2, 10404, 27, 13, 10666
