Date : 2022-02-13 14:55:12
Directory : c:\Users\Oosh\Documents\GitHub\dunePrototype
Total : 113 files,  59241 codes, 19570 comments, 5659 blanks, all 84470 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         74 |     29,499 |     19,224 |      1,693 |     50,416 |
| JSON       |          4 |     10,423 |         27 |          1 |     10,451 |
| XML        |          4 |      9,561 |          0 |          3 |      9,564 |
| PostCSS    |         19 |      9,453 |        266 |      3,959 |     13,678 |
| HTML       |          4 |        164 |          5 |          0 |        169 |
| Handlebars |          7 |        139 |         48 |          2 |        189 |
| Markdown   |          1 |          2 |          0 |          1 |          3 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                       |        113 |     59,241 |     19,570 |      5,659 |     84,470 |
| src                                                                                                     |        103 |     48,615 |     19,543 |      5,646 |     73,804 |
| src\assets                                                                                              |          1 |         32 |          2 |          5 |         39 |
| src\client                                                                                              |         61 |     46,316 |     19,298 |      5,416 |     71,030 |
| src\client\audio                                                                                        |          3 |      1,955 |        801 |        503 |      3,259 |
| src\client\audio\lib                                                                                    |          1 |      1,944 |        797 |        502 |      3,243 |
| src\client\canvas                                                                                       |          6 |     23,928 |     17,992 |        813 |     42,733 |
| src\client\canvas\lib                                                                                   |          1 |     23,892 |     17,982 |        808 |     42,682 |
| src\client\canvas\viewModels                                                                            |          3 |         15 |          3 |          1 |         19 |
| src\client\chat                                                                                         |          2 |        121 |         39 |         16 |        176 |
| src\client\gameData                                                                                     |          1 |          0 |          1 |          0 |          1 |
| src\client\lib                                                                                          |          1 |          1 |          7 |          0 |          8 |
| src\client\mainMenu                                                                                     |          3 |        335 |         23 |         28 |        386 |
| src\client\mentat                                                                                       |          4 |        164 |         14 |         16 |        194 |
| src\client\net                                                                                          |          2 |        244 |         24 |         33 |        301 |
| src\client\templates                                                                                    |         32 |     19,189 |        319 |      3,964 |     23,472 |
